,Question,1,2,3,4,answer
0,What is the meaning of Decide?,settle,testy,well-liked,repulsive,1
1,What is the meaning of Go?,depart,exact,certain,sluggish,1
2,What is the meaning of Put?,spot,mistaken,place,establish,3
3,What is the meaning of Mark?,dissimilarity,designate,mettlesome,enact,2
4,What is the meaning of Tell?,naughty,morose,divulge,fraudulent,3
5,What is the meaning of Cry?,involved,mute,impartial,yowl,4
6,What is the meaning of Definite?,veil,obtain,impish,clear,4
7,What is the meaning of Beautiful?,indispensable,graceful,uncover,area,2
8,What is the meaning of Tell?,hasten,promenade,declare,toothsome,3
9,What is the meaning of Gross?,shameful,cruise,intelligent,perform,1
