,Question,1,2,3,4,answer
0,What is the meaning of Run?,finish,distinct,hasten,do,3
1,What is the meaning of New?,befriend,halt,current,despise,3
2,What is the meaning of Gross?,indecent,explain,factual,plunge,1
3,What is the meaning of Interesting?,depart,spellbinding,depart,stay,2
4,What is the meaning of Trouble?,do,anxiety,noted,super,2
5,What is the meaning of Great?,intelligent,elaborate,renowned,worthy,4
6,What is the meaning of Lazy?,original,sluggish,distinct,contemplate,2
7,What is the meaning of Come?,aged,arrive,renowned,peaceful,2
8,What is the meaning of Scared?,stunning,expansive,primitive,disturbed,4
9,What is the meaning of Trouble?,quit,effort,purchase,kill,2
