,Question,1,2,3,4,answer
0,What is the meaning of Good?,valuable,gain,scrape,honorable,4
1,What is the meaning of Good?,grisly,loathe,elope,valid,4
2,What is the meaning of Lazy?,critical,inactive,cherish,indolent,4
3,What is the meaning of Big?,weak,execute,enormous,cease,3
4,What is the meaning of Quiet?,race,still,plight,exquisite,2
5,What is the meaning of Cry?,elated,weep,halt,danger,2
6,What is the meaning of Strange?,curious,tantalizing,extinguish,care for,1
7,What is the meaning of New?,retain,expressionless,current,travel,3
8,What is the meaning of Enjoy?,certain,appreciate,involved,fright,2
9,What is the meaning of Ugly?,shocking,comical,tranquil,region,1
