,Question,1,2,3,4,answer
0,What is the meaning of Stop?,halt,wearisome,reach,end,1
1,What is the meaning of Help?,satisfied,serve,incompatibility,belief,2
2,What is the meaning of Idea?,naughty,see,plan,marvelous,3
3,What is the meaning of Idea?,dreary,conception,reflect,damage,2
4,What is the meaning of End?,outmoded,discontinuance,loyal,lop,2
5,What is the meaning of Great?,powerful,intelligent,stare,worthy,4
6,What is the meaning of Unhappy?,animated,recede,melancholy,unruffled,3
7,What is the meaning of Mark?,well-liked,appealing,sob,note,4
8,What is the meaning of Tell?,run,noteworthy,uncover,leer,3
9,What is the meaning of Move?,maintain,be pleased,piece,trail,4
