,Question,1,2,3,4,answer
0,What is the meaning of Look?,withhold,flee,microscopic,behold,4
1,What is the meaning of Move?,sluggish,impartial,curved,shuffle,4
2,What is the meaning of End?,discontinuance,pains,plucky,calm,1
3,What is the meaning of Fair?,renowned,honest,flee,jam,2
4,What is the meaning of Look?,injure,serene,spy,inactive,3
5,What is the meaning of Wrong?,section,peril,ruin,inaccurate,4
6,What is the meaning of Place?,set aside,loathe,shapely,status,4
7,What is the meaning of Think?,judge,uncomfortable,queer,indecent,1
8,What is the meaning of Show?,rude,indicate,maintain,sterling,2
9,What is the meaning of Difference?,amusing,unsuitable,display,incompatibility,4
